Release_Type,Movie_Name,Lifetime Gross,Year,Release_ID,Movie_ID,file_name
Original Release,Star Wars: Episode VI - Return of the Jedi,475347111,1983,gr638341637,tt0086190,Collections of Top Grossing Films
Original Release,Charlie and the Chocolate Factory,474968763,2005,gr493572613,tt0367594,Collections of Top Grossing Films
Original Release,Hotel Transylvania 2,474800000,2015,gr1933267461,tt2510894,Collections of Top Grossing Films
Original Release,Indiana Jones and the Last Crusade,474310887,1989,gr643846661,tt0097576,Collections of Top Grossing Films
Original Release,San Andreas,473990832,2015,gr3033420293,tt2126355,Collections of Top Grossing Films
Original Release,It Chapter Two,473093228,2019,gr3159511557,tt7349950,Collections of Top Grossing Films
Original Release,Wreck-It Ralph,471222889,2012,gr4278342149,tt1772341,Collections of Top Grossing Films
Original Release,Jaws,471203004,1975,gr3237696005,tt0073195,Collections of Top Grossing Films
Original Release,The Hangover,469310836,2009,gr1614565893,tt1119646,Collections of Top Grossing Films
Original Release,The Lego Movie,468060692,2014,gr2634043909,tt1490017,Collections of Top Grossing Films
Original Release,Bumblebee,467989645,2018,gr2098156037,tt4701182,Collections of Top Grossing Films
Original Release,Star Trek Into Darkness,467365246,2013,gr2698924549,tt1408101,Collections of Top Grossing Films
Original Release,The Matrix,465343787,1999,gr979587589,tt0133093,Collections of Top Grossing Films
Original Release,Pretty Woman,463406268,1990,gr87904773,tt0100405,Collections of Top Grossing Films
Original Release,Cars,461983149,2006,gr3256701445,tt0317219,Collections of Top Grossing Films
Original Release,Gladiator,460583960,2000,gr2536067589,tt0172495,Collections of Top Grossing Films
Original Release,X-Men: The Last Stand,460435291,2006,gr86528517,tt0376994,Collections of Top Grossing Films
Original Release,National Treasure: Book of Secrets,459242249,2007,gr3406320133,tt0465234,Collections of Top Grossing Films
Original Release,Lucy,458863600,2014,gr2824491525,tt2872732,Collections of Top Grossing Films
Original Release,Mission: Impossible,457731198,1996,gr1880314373,tt0117060,Collections of Top Grossing Films
Original Release,300,456068181,2007,gr3672003077,tt0416449,Collections of Top Grossing Films
Original Release,The Last Samurai,454627263,2003,gr1710707205,tt0325710,Collections of Top Grossing Films
